Category,Sub-Technique,Description,GIF URL,GIF Filename,Creator,Source URL,Page URL
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/28/1_5tewUbx/4ccfe48679d2e46b5341e8c3c7358e45.gif,4ccfe48679d2e46b5341e8c3c7358e45.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/18/YUNGBLUD_x_Lil_Yachty_-__When_We_Die__Directors_Cut_FstShoJ/eb3295084d6770720481746b9fd9e50d.gif,eb3295084d6770720481746b9fd9e50d.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/25/tumblr_461a82caeb2fef76c84807c71c31432b_f7c137e0_540/5ede73234af9a51a5d8da13813654856.gif,5ede73234af9a51a5d8da13813654856.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/sony-_your_world_nothing_else1080p/d03263d5bc37bac53e463dc0b9d3d1e3.gif,d03263d5bc37bac53e463dc0b9d3d1e3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/25/tumblr_26cc2022d701736ea0d07ef28bd156b4_2f546183_540/f09a9e13e7dfcceab4ad890df9d4fdcd.gif,f09a9e13e7dfcceab4ad890df9d4fdcd.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/16/Sabrina_Carpenter_-_Espresso_Official_Video_aksbXaT/e61c13af2d29744863bd2014a0dbe456.gif,e61c13af2d29744863bd2014a0dbe456.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/24/tumblr_56c1e00cf614f84e3d8a4f838fc233ea_c4f7b53d_540/7ec281b04fecc0f922140a99b642b306.gif,7ec281b04fecc0f922140a99b642b306.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/20/tumblr_18a20303752db1073210e40d70fb8c0d_5d5ed3d5_540/443609d1f396631385a8d8d0d8b4c222.gif,443609d1f396631385a8d8d0d8b4c222.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/26/Killdummies_-_Keine_War_Gro%C3%9Fartig_Fukk_U_Hw6eySh/b7bbe7042279282a6d1f46b466dba490.gif,b7bbe7042279282a6d1f46b466dba490.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/08/JJ_DOOM___GUVNOR___DIR_NINIAN_DOFF_0wfKsxw/81a26c14c19545c7a050fad5366984ff.gif,81a26c14c19545c7a050fad5366984ff.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/22/Mar-29-202319-03-18/a53cf3d29334e500cfcb53a9033574da.gif,a53cf3d29334e500cfcb53a9033574da.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/tumblr_38a87f3bc1027483306a3244c3291cac_da3276ed_540/3f743276f832469ed2ff5c9513c0734e.gif,3f743276f832469ed2ff5c9513c0734e.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/16/tumblr_b586fa777cd2fbdf7ef771cd30165e2b_c3b005be_540/2609e3c5acdfdc957a4db81d4375e900.gif,2609e3c5acdfdc957a4db81d4375e900.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/20/tumblr_b24ac38b7902b7d1940e5c2d18b6eab3_73be7c84_540/1a3a595d702cef037b43fa3d11a51cf3.gif,1a3a595d702cef037b43fa3d11a51cf3.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/13/tumblr_4838b6d8/71da2262110d7acb9a7796789ba38083.gif,71da2262110d7acb9a7796789ba38083.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/01/9bDU/174d8090a8f56cccd4686f6b72968c6f.gif,174d8090a8f56cccd4686f6b72968c6f.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/23/Downtown_Kayoto_-_Came_Thru_Official_Music_Video_gOH8nnl/492521e143d6c2730cdedc0cc9e853e0.gif,492521e143d6c2730cdedc0cc9e853e0.gif,"",,https://eyecannndy.com/technique/close-up
"close-up","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2023/12/31/7/a48e02c55bbc193686cd7379db8b1f96.gif,a48e02c55bbc193686cd7379db8b1f96.gif,"",,https://eyecannndy.com/technique/close-up
